"No.","Time","Source","Destination","Protocol","Length","Info"
"12831","552.106922835","::1","::1","MQTT","243","Publish Message [university/building3/section1/deposit]"
"12833","552.250432788","10.0.2.15","18.192.151.104","MQTT","75","Publish Message [hospital/room2]"
"12835","552.257191219","10.0.2.15","18.192.151.104","MQTT","196","Publish Message [university/room2/area3]"
"12840","552.275948991","18.192.151.104","10.0.2.15","MQTT","196","Publish Message [university/room2/area3]"
"12842","552.276464550","18.192.151.104","10.0.2.15","MQTT","197","Publish Message [university/room2/area3]"
"12920","554.022310701","10.0.2.15","18.192.151.104","MQTT","199","Publish Message [metaverse/building3/room2]"
"12924","554.167231361","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/building3]"
"12926","554.200226046","10.0.2.15","18.192.151.104","MQTT","85","Publish Message [metaverse/facility3/room2]"
"12930","554.282225831","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/building3/section1]"
"12934","554.529765633","::1","::1","MQTT","241","Publish Message [factory/department2/floor4/humidity]"
"12936","554.530127081","::1","::1","MQTT","240","Publish Message [factory/department2/floor4/humidity]"
"12943","554.992480228","10.0.2.15","18.192.151.104","MQTT","83","Publish Message [factory/facility3/area3]"
"12945","555.380212466","::1","::1","MQTT","248","Publish Message [university/building3/floor4/hydraulic_valve]"
"12947","555.380389308","::1","::1","MQTT","249","Publish Message [university/building3/floor4/hydraulic_valve]"
"12949","555.584851841","10.0.2.15","18.192.151.104","MQTT","98","Publish Message [hospital/building3/floor4/temperature]"
"12951","555.680778152","10.0.2.15","5.196.78.28","MQTT","214","Publish Message [factory/building3/floor4/hydraulic_valve]"
"12980","556.768017986","::1","::1","MQTT","227","Publish Message [metaverse/room2/room2]"
"12982","556.768245942","::1","::1","MQTT","226","Publish Message [metaverse/room2/room2]"
"12984","556.768263629","::1","::1","MQTT","226","Publish Message [metaverse/room2/room2]"
"12988","557.233467635","10.0.2.15","5.196.78.28","MQTT","213","Publish Message [hospital/facility3/section1/temperature]"
"12990","557.427586998","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/building3/section1]"
"12992","557.453301422","10.0.2.15","35.158.43.69","MQTT","201","Publish Message [hospital/building3/section1]"
"12994","557.645020049","10.0.2.15","18.192.151.104","MQTT","200","Publish Message [factory/facility3/section1]"
"13010","558.649789915","10.0.2.15","18.192.151.104","MQTT","196","Publish Message [university/department2]"
"13012","558.680513247","18.192.151.104","10.0.2.15","MQTT","195","Publish Message [university/department2]"
"13014","559.247272303","10.0.2.15","35.158.43.69","MQTT","105","Publish Message [university/department2/floor4/hydraulic_valve]"
"13016","559.275587953","18.192.151.104","10.0.2.15","MQTT","106","Publish Message [university/department2/floor4/hydraulic_valve]"
"13018","559.292815782","18.192.151.104","10.0.2.15","MQTT","105","Publish Message [university/department2/floor4/hydraulic_valve]"
"13020","559.663118344","10.0.2.15","35.158.43.69","MQTT","187","Publish Message [hospital/room2]"
"13022","560.523094364","10.0.2.15","5.196.78.28","MQTT","80","Publish Message [factory/department2]"
"13024","560.842069138","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [metaverse/department2]"
"13026","561.313256163","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [university/building3/area3]"
"13061","562.321578052","10.0.2.15","18.192.151.104","MQTT","200","Publish Message [university/building3/area3]"
"13063","562.342361583","18.192.151.104","10.0.2.15","MQTT","199","Publish Message [university/building3/area3]"
"13065","562.346413850","18.192.151.104","10.0.2.15","MQTT","200","Publish Message [university/building3/area3]"
"13067","562.525799385","10.0.2.15","18.192.151.104","MQTT","201","Publish Message [metaverse/building3/section1]"
"13069","562.559323604","10.0.2.15","18.192.151.104","MQTT","217","Publish Message [metaverse/department2/floor4/hydraulic_valve]"
"13073","563.535746304","::1","::1","MQTT","232","Publish Message [university/facility3/area3]"
"13075","563.536026273","::1","::1","MQTT","232","Publish Message [university/facility3/area3]"
"13077","563.993254129","::1","::1","MQTT","225","Publish Message [hospital/room2/room2]"
"13081","564.539537446","10.0.2.15","35.158.43.69","MQTT","209","Publish Message [factory/building3/section1/pollution]"
"13083","564.700913190","10.0.2.15","18.192.151.104","MQTT","199","Publish Message [factory/department2/room2]"
"13088","565.269443999","::1","::1","MQTT","234","Publish Message [university/department2/area3]"
"13090","565.269552506","::1","::1","MQTT","234","Publish Message [university/department2/area3]"
"13092","565.603722755","::1","::1","MQTT","119","Publish Message [factory/building3/section1]"
"13094","565.603904988","::1","::1","MQTT","118","Publish Message [factory/building3/section1]"
