"No.","Time","Source","Destination","Protocol","Length","Info"
"7077","185.472793120","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/department2/area3]"
"7081","185.765218294","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/facility3/room2]"
"7087","187.111058796","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [hospital/department2/area3/light]"
"7089","187.473078382","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [metaverse/building3/area3/humidity]"
"7127","190.680960989","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [metaverse/facility3/section1]"
"7135","191.927007172","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/building3/section1]"
"7171","192.832381135","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [hospital/building3/area3]"
"7210","194.011550062","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [metaverse/department2]"
"7228","195.791292904","10.0.2.15","5.196.78.28","MQTT","92","Publish Message [metaverse/room2/area3/pollution]"
"7230","196.011123352","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [metaverse/room2]"
"7234","197.158023266","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [university/room2/area3/humidity]"
"7244","197.585599376","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [hospital/building3/floor4]"
"7399","200.646731511","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [hospital/room2/section1/humidity]"
"7409","201.706938297","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [factory/department2/floor4/light]"
"7421","202.689251093","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [factory/facility3/area3/temperature]"
"7435","203.861893660","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [metaverse/department2]"
"7439","204.959182866","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [factory/building3/area3/deposit]"
"7445","205.674027360","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [university/room2]"
"7467","206.983172219","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [university/building3]"
"7523","210.293741353","10.0.2.15","5.196.78.28","MQTT","84","Publish Message [factory/facility3/floor4]"
"7577","211.917366162","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [university/building3/room2]"
"7587","213.121497238","10.0.2.15","5.196.78.28","MQTT","211","Publish Message [metaverse/building3/room2/temperature]"
"7589","213.151558044","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [factory/building3/room2]"
